Ref;Karşıt;DINOv2-Base (%);DINOv2-Large (%);Dists (%);SSIM (%);OpenCLIP (%)
I9.bmp;I9D5L3.bmp;92.60;94.53;76.61;84.08;96.68
I9.bmp;I9D5L4.bmp;89.15;91.65;71.51;78.66;94.24
I9.bmp;I9D5L5.bmp;83.48;88.13;65.25;74.00;92.31
I9.bmp;I9D6L1.bmp;99.71;99.81;98.83;96.94;99.90
I9.bmp;I9D6L2.bmp;99.31;99.55;96.80;97.85;99.69
I9.bmp;I9D6L3.bmp;88.63;92.34;86.67;85.01;92.43
I9.bmp;I9D6L4.bmp;93.72;95.05;89.53;88.79;95.75
I9.bmp;I9D6L5.bmp;85.71;89.98;84.40;82.03;89.90
I9.bmp;I9D7L1.bmp;99.91;99.92;99.31;99.82;99.89
I9.bmp;I9D7L2.bmp;97.32;97.51;94.71;96.57;95.83
I9.bmp;I9D7L3.bmp;96.66;97.18;93.60;95.44;92.89
I9.bmp;I9D7L4.bmp;94.35;96.60;90.15;92.83;93.17
I9.bmp;I9D7L5.bmp;91.40;91.19;86.13;89.20;91.83
I9.bmp;I9D8L1.bmp;100.00;100.00;100.00;100.00;100.00
I9.bmp;I9D8L2.bmp;96.72;98.16;93.96;96.27;99.47
I9.bmp;I9D8L3.bmp;90.43;95.20;86.99;90.93;95.69
I9.bmp;I9D8L4.bmp;89.31;92.70;84.57;88.23;94.17
I9.bmp;I9D8L5.bmp;87.76;87.81;82.21;85.69;92.22
I9.bmp;I9D9L1.bmp;99.97;99.97;99.66;99.76;99.98
I9.bmp;I9D9L2.bmp;98.17;98.80;96.43;96.61;98.94
I9.bmp;I9D9L3.bmp;96.72;98.13;94.78;95.47;97.37
I9.bmp;I9D9L4.bmp;94.37;97.48;92.12;92.89;96.97
I9.bmp;I9D9L5.bmp;92.49;93.42;87.61;89.21;91.72
